ReviewText,Review,ReviewLength,PlayHours,DatePosted
EARLY ACCESS REVIEWi like,Recommended,22,25.8 hrs on record,Posted: 5 April
EARLY ACCESS REVIEWPokemon but better,Recommended,33,10.1 hrs on record,Posted: 5 April
EARLY ACCESS REVIEWgood game,Recommended,25,17.8 hrs on record,Posted: 5 April
EARLY ACCESS REVIEWYou can kidnap people :),Recommended,37,5.0 hrs on record,Posted: 5 April
EARLY ACCESS REVIEWFun game.,Recommended,25,122.1 hrs on record,Posted: 5 April
EARLY ACCESS REVIEW123,Recommended,20,47.7 hrs on record,Posted: 5 April
EARLY ACCESS REVIEWFun and interactive game,Recommended,38,49.7 hrs on record,Posted: 5 April
"EARLY ACCESS REVIEWLove this game! You can explore, build a base, catch pals, fight bosses, or just fool around with friends- It is so relaxing to play!",Recommended,126,36.9 hrs on record,Posted: 5 April
EARLY ACCESS REVIEWgood but DIGTOISE IS STUPID AS ♥♥♥♥. HE CONTINUES TO WORK AS HIS EYES ARE BLOODSHOT YET THERES A HOT SPRING AND FOOD RIGHT NEXT TO HIM SO I HAVE TO MANUALLY KEEP ON PUTTING HIM IN TYHE HOT SPRING UNTILL HES AT 100% SANITY. also the game crasjes alot. please fix digtoise,Recommended,235,64.0 hrs on record,Posted: 5 April
"EARLY ACCESS REVIEWFun for collectors, hoarders, and poke fans. Won't age well if there aren't more gameplay modes / events and a much larger collection of collectables. Base building needs more upgrades for designer types.",Recommended,189,79.7 hrs on record,Posted: 5 April
EARLY ACCESS REVIEWi like,Recommended,22,25.8 hrs on record,Posted: 5 April
EARLY ACCESS REVIEWPokemon but better,Recommended,33,10.1 hrs on record,Posted: 5 April
EARLY ACCESS REVIEWgood game,Recommended,25,17.8 hrs on record,Posted: 5 April
EARLY ACCESS REVIEWYou can kidnap people :),Recommended,37,5.0 hrs on record,Posted: 5 April
EARLY ACCESS REVIEWFun game.,Recommended,25,122.1 hrs on record,Posted: 5 April
EARLY ACCESS REVIEW123,Recommended,20,47.7 hrs on record,Posted: 5 April
EARLY ACCESS REVIEWFun and interactive game,Recommended,38,49.7 hrs on record,Posted: 5 April
"EARLY ACCESS REVIEWLove this game! You can explore, build a base, catch pals, fight bosses, or just fool around with friends- It is so relaxing to play!",Recommended,126,36.9 hrs on record,Posted: 5 April
EARLY ACCESS REVIEWgood but DIGTOISE IS STUPID AS ♥♥♥♥. HE CONTINUES TO WORK AS HIS EYES ARE BLOODSHOT YET THERES A HOT SPRING AND FOOD RIGHT NEXT TO HIM SO I HAVE TO MANUALLY KEEP ON PUTTING HIM IN TYHE HOT SPRING UNTILL HES AT 100% SANITY. also the game crasjes alot. please fix digtoise,Recommended,235,64.0 hrs on record,Posted: 5 April
"EARLY ACCESS REVIEWFun for collectors, hoarders, and poke fans. Won't age well if there aren't more gameplay modes / events and a much larger collection of collectables. Base building needs more upgrades for designer types.",Recommended,189,79.7 hrs on record,Posted: 5 April
EARLY ACCESS REVIEWi love this game so much its so fun 1000000000% recommend,Recommended,64,61.9 hrs on record,Posted: April 5
EARLY ACCESS REVIEWNo need review for this game. Just play it and see it yourself.,Recommended,68,26.8 hrs on record,Posted: April 5
EARLY ACCESS REVIEWIt's cool,Recommended,25,116.0 hrs on record,Posted: April 5
EARLY ACCESS REVIEWi like the pals and the base building,Recommended,47,58.6 hrs on record,Posted: April 5
EARLY ACCESS REVIEWcreative mode plssssssssssssssssss,Recommended,49,13.2 hrs on record,Posted: April 5
EARLY ACCESS REVIEWBuggy as all hell...but fun and better than THAT other game.,Recommended,67,108.8 hrs on record,Posted: April 5
EARLY ACCESS REVIEWGOOD GAME,Recommended,25,8.3 hrs on record,Posted: April 5
EARLY ACCESS REVIEWNice open world game with loads of creative creatures to capture and butcher.,Recommended,82,27.4 hrs on record,Posted: April 5
EARLY ACCESS REVIEWthis is the best game hand down for the money right now. it fits well with adults and kids.,Recommended,90,794.0 hrs on record,Posted: April 5
EARLY ACCESS REVIEWIts an amazing game that takes amazing elements from other games and combines it into one i personally find an incredible amount of pleasure playing this open world game as it leaves so much to explore no matter how far you think you are in the game its also a multiplayer game making it really fun to play with your friends i rate this game a 9/10 as occasionally there might be some bugs but its to be expected look at pokemon sv after all.,Recommended,375,131.8 hrs on record,Posted: April 5
EARLY ACCESS REVIEWi love this game so much its so fun 1000000000% recommend,Recommended,64,61.9 hrs on record,Posted: April 5
EARLY ACCESS REVIEWNo need review for this game. Just play it and see it yourself.,Recommended,68,26.8 hrs on record,Posted: April 5
EARLY ACCESS REVIEWIt's cool,Recommended,25,116.0 hrs on record,Posted: April 5
EARLY ACCESS REVIEWi like the pals and the base building,Recommended,47,58.6 hrs on record,Posted: April 5
EARLY ACCESS REVIEWcreative mode plssssssssssssssssss,Recommended,49,13.2 hrs on record,Posted: April 5
EARLY ACCESS REVIEWBuggy as all hell...but fun and better than THAT other game.,Recommended,67,108.8 hrs on record,Posted: April 5
EARLY ACCESS REVIEWGOOD GAME,Recommended,25,8.3 hrs on record,Posted: April 5
EARLY ACCESS REVIEWNice open world game with loads of creative creatures to capture and butcher.,Recommended,82,27.4 hrs on record,Posted: April 5
EARLY ACCESS REVIEWthis is the best game hand down for the money right now. it fits well with adults and kids.,Recommended,90,794.0 hrs on record,Posted: April 5
EARLY ACCESS REVIEWIts an amazing game that takes amazing elements from other games and combines it into one i personally find an incredible amount of pleasure playing this open world game as it leaves so much to explore no matter how far you think you are in the game its also a multiplayer game making it really fun to play with your friends i rate this game a 9/10 as occasionally there might be some bugs but its to be expected look at pokemon sv after all.,Recommended,375,131.8 hrs on record,Posted: April 5
EARLY ACCESS REVIEWxdfgfghgfn,Recommended,27,116.1 hrs on record,Posted: April 5
EARLY ACCESS REVIEWits nice,Recommended,24,51.5 hrs on record,Posted: April 5
EARLY ACCESS REVIEWballz,Recommended,22,90.3 hrs on record,Posted: April 5
