Currency,Current Price,Converted Price,Lowest Recorded Price
British Pound,£22.49 at -10%,£22.49,£22.49 at -10%
South Asia - USD,$9.44 at -10%,£7.47,£7.47
Russian Ruble,990 ₽ at -10%,£8.47,£8.47
South African Rand,R 243.00 at -10%,£10.31,£10.31
CIS - U.S. Dollar,$13.04 at -10%,£10.32,£10.32
Chinese Yuan,¥ 97.20 at -10%,£10.63,£10.63
LATAM - U.S. Dollar,$13.49 at -10%,£10.68,£10.68
MENA - U.S. Dollar,$13.49 at -10%,£10.68,£10.68
Malaysian Ringgit,RM64.80 at -10%,£10.80,£10.80
Taiwan Dollar,NT$ 439 at -10%,£10.82,£10.82
Ukrainian Hryvnia,540₴ at -10%,£10.94,£10.94
Vietnamese Dong,346500₫ at -10%,£10.98,£10.98
Indonesian Rupiah,Rp 221399 at -10%,£11.04,£11.04
Indian Rupee,₹ 1170 at -10%,£11.11,£11.11
Kuwaiti Dinar,4.45 KD at -10%,£11.45,£11.45
Philippine Peso,₱819.00 at -10%,£11.46,£11.46
Thai Baht,฿531.00 at -10%,£11.49,£11.49
Chilean Peso,CLP$ 13950 at -10%,£11.64,£11.64
Saudi Riyal,55.34 SR at -10%,£11.68,£11.68
Kazakhstani Tenge,6840₸ at -10%,£12.12,£12.12
Peruvian Sol,S/.56.70 at -10%,£12.18,£12.18
Brazilian Real,"R$ 80,09 at -10%",£12.52,£12.52
Qatari Riyal,58.49 QR at -10%,£12.71,£12.71
Colombian Peso,COL$ 63000 at -10%,£13.21,£13.21
Singapore Dollar,S$23.40 at -10%,£13.74,£13.74
Mexican Peso,Mex$ 301.49 at -10%,£14.47,£14.47
U.A.E. Dirham,71.10 AED at -10%,£15.32,£15.32
Japanese Yen,¥ 3060 at -10%,£15.98,£15.98
Uruguayan Peso,$U796 at -10%,£16.61,£16.61
South Korean Won,₩ 28800 at -10%,£16.86,£16.86
Hong Kong Dollar,HK$ 168.30 at -10%,£17.02,£17.02
Costa Rican Colon,₡11160 at -10%,£17.35,£17.35
New Zealand Dollar,NZ$ 39.23 at -10%,£18.69,£18.69
Canadian Dollar,CDN$ 35.09 at -10%,£20.45,£20.45
Australian Dollar,A$ 39.55 at -10%,£20.61,£20.61
Israeli New Shekel,₪99.85 at -10%,£21.00,£21.00
U.S. Dollar,$26.99 at -10%,£21.36,£21.36
Norwegian Krone,"301,50 kr at -10%",£22.27,£22.27
Euro,"26,09€ at -10%",£22.39,£22.39
Polish Zloty,"125,09zł at -10%",£25.07,£25.07
Swiss Franc,CHF 30.15 at -10%,£26.50,£26.50
