ReviewText,Review,ReviewLength,PlayHours,DatePosted
EARLY ACCESS REVIEWIt's cool,Recommended,25,112.3 hrs on record,Posted: 4 April
"EARLY ACCESS REVIEWI love the references and mechanics from other games. Buggy at time of writing, but lovely for what it is, a small team's personal project.",Recommended,132,73.7 hrs on record,Posted: 3 April
"EARLY ACCESS REVIEWit's like taking zelda, minecraft, and pokemon and then putting them in a blender",Recommended,85,6.8 hrs on record,Posted: 2 April
EARLY ACCESS REVIEWfun,Recommended,20,12.1 hrs on record,Posted: 1 April
"EARLY ACCESS REVIEWThis game is fun, and engaging, if a bit grindy. I think the magic is my favorite part.",Recommended,87,22.3 hrs on record,Posted: 1 April
EARLY ACCESS REVIEWI remember the old game setup not even close to the 1 that is out now.More to look at and explore!,Recommended,95,35.1 hrs on record,Posted: 31 March
"EARLY ACCESS REVIEWI loved the original Craftopia, however the seamless world update completely changed the game. Honestly, it looks and runs horrible now. The character creation is terrible and for some reason there is a dumb character outline glow. The movement and look just feels gross. I'm sad they ruined a fun little game and turns it into this.",Not Recommended,294,79.9 hrs on record,Posted: 3 April
"EARLY ACCESS REVIEWCrazy jank! Super glitchy movement, invisible walls all over the place (some which you hilariously can climb), not well optimized at all, shadows flicker to the extreme and you can see through terrain depending on camera orientation. Plus the story is outrageously bad! This was not at all what I expected, this feels like a very unfinished early alpha.",Not Recommended,312,0.3 hrs on record,Posted: 3 April
"EARLY ACCESS REVIEWWinter had swept in, and as the festivities died down after the holidays ended and the new year began, the town had grown quiet, as it usually does. Men and women and children bundled up inside their homes with the heaters on and loved ones snuggled up in their blankets- and then there was me, staring up at the ceiling, wishing summer would come back.I was an adult now. I had taxes to file, jobs to do, classes to attend. It all felt almost underwhelming in a way, like barely anything changed at all.I wanted to relive some of those memories I had. I wanted to play back through those games that changed my life. I wanted to relive what it was like to play through them for the first time again. But that was impossible. Breath of the Wild was my favorite game of all time, and even with that, I'd played Tears of the Kingdom the previous year and BOTW too many times to count. I was so bored. All I did was laze around in bed and talk to friends and talk about how we've gotta find something new to do and yet not wanting to do anything new. Because what I really wanted wasn't something new, I wanted something old.This game ♥♥♥♥♥♥♥ sucks. I mean it's buggy, runs horribly, is hilariously incomplete, and the systems are all just a bunch of assets and game mechanics stolen from other games and dumped together with no thought whatsoever. I mean when I say buggy it's an understatement too, half the bosses don't even drop what they're supposed to, there are certain areas that just don't even have bosses that clearly are supposed to have them, one time I was fighting a boss and I got to half health, then to dodge one of his attacks I flew up and apparently I got too far from the boss so it just reset to max health??Still had fun though. Wait for a sale and play with friends.",Not Recommended,1468,10.2 hrs on record,Posted: 2 April
"EARLY ACCESS REVIEW""This item may bring you despair. Even though this beautiful world is filled with all kinds of possibilities, buttered toast always lands buttered side down; it rains after you wash your car; the more you want, the less chance you acquire splendid loots from a loot box. Of course you won't realize you have no paper before its to late."" Is the description for toilet paper amen.",Recommended,330,20.3 hrs on record,Posted: 30 March
EARLY ACCESS REVIEWIt's cool,Recommended,25,112.3 hrs on record,Posted: 4 April
"EARLY ACCESS REVIEWI love the references and mechanics from other games. Buggy at time of writing, but lovely for what it is, a small team's personal project.",Recommended,132,73.7 hrs on record,Posted: 3 April
"EARLY ACCESS REVIEWit's like taking zelda, minecraft, and pokemon and then putting them in a blender",Recommended,85,6.8 hrs on record,Posted: 2 April
EARLY ACCESS REVIEWfun,Recommended,20,12.1 hrs on record,Posted: 1 April
"EARLY ACCESS REVIEWThis game is fun, and engaging, if a bit grindy. I think the magic is my favorite part.",Recommended,87,22.3 hrs on record,Posted: 1 April
EARLY ACCESS REVIEWI remember the old game setup not even close to the 1 that is out now.More to look at and explore!,Recommended,95,35.1 hrs on record,Posted: 31 March
"EARLY ACCESS REVIEWI loved the original Craftopia, however the seamless world update completely changed the game. Honestly, it looks and runs horrible now. The character creation is terrible and for some reason there is a dumb character outline glow. The movement and look just feels gross. I'm sad they ruined a fun little game and turns it into this.",Not Recommended,294,79.9 hrs on record,Posted: 3 April
"EARLY ACCESS REVIEWCrazy jank! Super glitchy movement, invisible walls all over the place (some which you hilariously can climb), not well optimized at all, shadows flicker to the extreme and you can see through terrain depending on camera orientation. Plus the story is outrageously bad! This was not at all what I expected, this feels like a very unfinished early alpha.",Not Recommended,312,0.3 hrs on record,Posted: 3 April
