Currency,Current Price,Converted Price,Lowest Recorded Price
British Pound,£12.59 at -40%,£12.59,£11.69 at -40%
South Asia - USD,$5.09 at -40%,£4.02,£4.02
Russian Ruble,552 ₽ at -40%,£4.72,£2.38
South African Rand,R 138.00 at -40%,£5.85,£3.81
CIS - U.S. Dollar,$7.49 at -40%,£5.92,£5.92
LATAM - U.S. Dollar,$7.49 at -40%,£5.92,£5.92
MENA - U.S. Dollar,$7.49 at -40%,£5.92,£5.92
Taiwan Dollar,NT$ 244 at -40%,£6.01,£5.57
Chinese Yuan,¥ 55.20 at -40%,£6.04,£5.25
Malaysian Ringgit,RM36.60 at -40%,£6.10,£4.40
Vietnamese Dong,192500₫ at -40%,£6.10,£4.18
Indonesian Rupiah,Rp 124199 at -40%,£6.19,£3.59
Ukrainian Hryvnia,309₴ at -40%,£6.26,£3.99
Indian Rupee,₹ 660 at -40%,£6.27,£3.24
Philippine Peso,₱459.00 at -40%,£6.42,£4.61
Thai Baht,฿297.00 at -40%,£6.42,£4.14
Chilean Peso,CLP$ 7800 at -40%,£6.50,£4.75
Saudi Riyal,30.89 SR at -40%,£6.51,£5.05
Kuwaiti Dinar,2.55 KD at -40%,£6.56,£6.56
Kazakhstani Tenge,3840₸ at -40%,£6.80,£3.50
Peruvian Sol,S/.31.80 at -40%,£6.83,£5.80
Brazilian Real,"R$ 44,39 at -40%",£6.93,£4.45
Qatari Riyal,32.99 QR at -40%,£7.17,£6.52
Colombian Peso,COL$ 35280 at -40%,£7.40,£4.21
Singapore Dollar,S$13.20 at -40%,£7.75,£7.75
Mexican Peso,Mex$ 169.79 at -40%,£8.15,£6.74
U.A.E. Dirham,39.60 AED at -40%,£8.53,£8.53
Japanese Yen,¥ 1680 at -40%,£8.77,£8.05
Uruguayan Peso,$U444 at -40%,£9.26,£6.61
Hong Kong Dollar,HK$ 93.60 at -40%,£9.46,£6.61
South Korean Won,₩ 16200 at -40%,£9.48,£9.13
Costa Rican Colon,₡6300 at -40%,£9.79,£9.79
New Zealand Dollar,NZ$ 21.59 at -40%,£10.28,£8.85
Canadian Dollar,CDN$ 19.50 at -40%,£11.36,£10.13
Australian Dollar,A$ 21.90 at -40%,£11.41,£11.24
Israeli New Shekel,₪55.77 at -40%,£11.73,£11.73
U.S. Dollar,$14.99 at -40%,£11.86,£11.86
Norwegian Krone,"168,00 kr at -40%",£12.41,£7.80
Euro,"14,70€ at -40%",£12.61,£10.80
Polish Zloty,"68,99zł at -40%",£13.82,£10.82
Swiss Franc,CHF 16.79 at -40%,£14.76,£13.18
