ReviewText,Review,ReviewLength,PlayHours,DatePosted
EARLY ACCESS REVIEWSimple game with simple catch. Fun only with couple friends.,Recommended,68,8.1 hrs on record,Posted: 5 April
EARLY ACCESS REVIEWnoo,Recommended,20,19.1 hrs on record,Posted: 5 April
EARLY ACCESS REVIEWsigma game,Recommended,26,44.1 hrs on record,Posted: 5 April
EARLY ACCESS REVIEWsure,Recommended,21,5.2 hrs on record,Posted: 5 April
EARLY ACCESS REVIEWi think this is a fun game to play with friends or even solo,Recommended,64,140.7 hrs on record,Posted: 5 April
EARLY ACCESS REVIEWit was very fun with the boyos,Recommended,41,13.0 hrs on record,Posted: 5 April
EARLY ACCESS REVIEWscary game,Recommended,26,30.3 hrs on record,Posted: 5 April
EARLY ACCESS REVIEWthis game makes me oiled up,Recommended,39,16.9 hrs on record,Posted: 5 April
"EARLY ACCESS REVIEWGreat game, fun to play with friends. Terrifying monsters with a stamina system just barely enough to run away and hide or escape them.Very unique while playing alone, not hearing friends and collecting quota on your own.Has a very big modding community, with bigger lobbies, more monsters, moons, and room interiors for more content",Recommended,297,93.7 hrs on record,Posted: 5 April
"EARLY ACCESS REVIEWReally fun, but 3 months since an update. Devs running the valheim model of excessive success with a failure to execute anything in a timely manner thereafter. Hope to be proven wrong!",Not Recommended,170,32.4 hrs on record,Posted: 5 April
EARLY ACCESS REVIEWSimple game with simple catch. Fun only with couple friends.,Recommended,68,8.1 hrs on record,Posted: 5 April
EARLY ACCESS REVIEWnoo,Recommended,20,19.1 hrs on record,Posted: 5 April
EARLY ACCESS REVIEWsigma game,Recommended,26,44.1 hrs on record,Posted: 5 April
EARLY ACCESS REVIEWsure,Recommended,21,5.2 hrs on record,Posted: 5 April
EARLY ACCESS REVIEWi think this is a fun game to play with friends or even solo,Recommended,64,140.7 hrs on record,Posted: 5 April
EARLY ACCESS REVIEWit was very fun with the boyos,Recommended,41,13.0 hrs on record,Posted: 5 April
EARLY ACCESS REVIEWscary game,Recommended,26,30.3 hrs on record,Posted: 5 April
EARLY ACCESS REVIEWthis game makes me oiled up,Recommended,39,16.9 hrs on record,Posted: 5 April
"EARLY ACCESS REVIEWGreat game, fun to play with friends. Terrifying monsters with a stamina system just barely enough to run away and hide or escape them.Very unique while playing alone, not hearing friends and collecting quota on your own.Has a very big modding community, with bigger lobbies, more monsters, moons, and room interiors for more content",Recommended,297,93.7 hrs on record,Posted: 5 April
"EARLY ACCESS REVIEWReally fun, but 3 months since an update. Devs running the valheim model of excessive success with a failure to execute anything in a timely manner thereafter. Hope to be proven wrong!",Not Recommended,170,32.4 hrs on record,Posted: 5 April
EARLY ACCESS REVIEWfun times,Recommended,25,98.2 hrs on record,Posted: April 5
EARLY ACCESS REVIEWwow,Recommended,20,5.9 hrs on record,Posted: April 5
EARLY ACCESS REVIEWgrew my penis in size by 4 inches and also got some ♥♥♥♥♥♥♥ finally,Recommended,71,91.4 hrs on record,Posted: April 5
EARLY ACCESS REVIEWcoool game,Recommended,26,5.4 hrs on record,Posted: April 5
EARLY ACCESS REVIEWI have died more to the pit then to any thing else 10/10,Recommended,61,12.9 hrs on record,Posted: April 5
Product refundedEARLY ACCESS REVIEWpretty boring,Not Recommended,44,0.5 hrs on record,Posted: April 5
EARLY ACCESS REVIEWfunny with friends,Recommended,33,56.1 hrs on record,Posted: April 5
EARLY ACCESS REVIEWThis company is amazing to work for. Easy job picking up scrap. 10/10 you definitely won't get spaced.,Recommended,102,17.8 hrs on record,Posted: April 5
EARLY ACCESS REVIEWThis is a very fun game to play with friends,Recommended,52,26.1 hrs on record,Posted: April 5
"EARLY ACCESS REVIEWGot my a## chased by a swarm of baboon hawks, 2 dogs and a giant and somehow lived. these are the moments i live for in this game. one of the few games that actually increases my heartrate. 10/10 F### those spike traps tho",Recommended,196,78.9 hrs on record,Posted: April 5
EARLY ACCESS REVIEWfun times,Recommended,25,98.2 hrs on record,Posted: April 5
EARLY ACCESS REVIEWwow,Recommended,20,5.9 hrs on record,Posted: April 5
EARLY ACCESS REVIEWgrew my penis in size by 4 inches and also got some ♥♥♥♥♥♥♥ finally,Recommended,71,91.4 hrs on record,Posted: April 5
EARLY ACCESS REVIEWcoool game,Recommended,26,5.4 hrs on record,Posted: April 5
EARLY ACCESS REVIEWI have died more to the pit then to any thing else 10/10,Recommended,61,12.9 hrs on record,Posted: April 5
Product refundedEARLY ACCESS REVIEWpretty boring,Not Recommended,44,0.5 hrs on record,Posted: April 5
EARLY ACCESS REVIEWfunny with friends,Recommended,33,56.1 hrs on record,Posted: April 5
EARLY ACCESS REVIEWThis company is amazing to work for. Easy job picking up scrap. 10/10 you definitely won't get spaced.,Recommended,102,17.8 hrs on record,Posted: April 5
EARLY ACCESS REVIEWThis is a very fun game to play with friends,Recommended,52,26.1 hrs on record,Posted: April 5
"EARLY ACCESS REVIEWGot my a## chased by a swarm of baboon hawks, 2 dogs and a giant and somehow lived. these are the moments i live for in this game. one of the few games that actually increases my heartrate. 10/10 F### those spike traps tho",Recommended,196,78.9 hrs on record,Posted: April 5
EARLY ACCESS REVIEWIt is amazing with friends and is so fun and enjoyable. Highly recommend.,Recommended,78,11.5 hrs on record,Posted: April 5
EARLY ACCESS REVIEWit is a fun multiplayer game that requires teamwork and dumbness,Recommended,71,58.9 hrs on record,Posted: April 5
EARLY ACCESS REVIEWthe new version 50 intro made me ♥♥♥♥ my pants harder then a 3am trip to taco bell,Recommended,82,175.2 hrs on record,Posted: April 5
"EARLY ACCESS REVIEWthis game is great to play with friends, its a coop horror game and a new update (v50) is coming out soon",Recommended,101,61.0 hrs on record,Posted: April 5
EARLY ACCESS REVIEWjeb,Recommended,20,21.0 hrs on record,Posted: April 5
EARLY ACCESS REVIEWit amazing,Recommended,26,31.6 hrs on record,Posted: April 5
EARLY ACCESS REVIEWYes,Recommended,20,8.8 hrs on record,Posted: April 5
EARLY ACCESS REVIEWit's not the hype anymore but still fun 2 play ^_^,Recommended,57,26.5 hrs on record,Posted: April 5
EARLY ACCESS REVIEWit have monstor,Recommended,30,16.3 hrs on record,Posted: April 5
Product refundedEARLY ACCESS REVIEWno mic racism,Not Recommended,43,2.0 hrs on record,Posted: April 5
EARLY ACCESS REVIEWIt is amazing with friends and is so fun and enjoyable. Highly recommend.,Recommended,78,11.5 hrs on record,Posted: April 5
EARLY ACCESS REVIEWit is a fun multiplayer game that requires teamwork and dumbness,Recommended,71,58.9 hrs on record,Posted: April 5
EARLY ACCESS REVIEWthe new version 50 intro made me ♥♥♥♥ my pants harder then a 3am trip to taco bell,Recommended,82,175.2 hrs on record,Posted: April 5
"EARLY ACCESS REVIEWthis game is great to play with friends, its a coop horror game and a new update (v50) is coming out soon",Recommended,101,61.0 hrs on record,Posted: April 5
EARLY ACCESS REVIEWjeb,Recommended,20,21.0 hrs on record,Posted: April 5
EARLY ACCESS REVIEWit amazing,Recommended,26,31.6 hrs on record,Posted: April 5
EARLY ACCESS REVIEWYes,Recommended,20,8.8 hrs on record,Posted: April 5
EARLY ACCESS REVIEWit's not the hype anymore but still fun 2 play ^_^,Recommended,57,26.5 hrs on record,Posted: April 5
EARLY ACCESS REVIEWit have monstor,Recommended,30,16.3 hrs on record,Posted: April 5
Product refundedEARLY ACCESS REVIEWno mic racism,Not Recommended,43,2.0 hrs on record,Posted: April 5
EARLY ACCESS REVIEWim terrified of the man thats comes in my behind,Recommended,56,28.4 hrs on record,Posted: April 5
EARLY ACCESS REVIEW10/10,Recommended,22,9.6 hrs on record,Posted: April 5
EARLY ACCESS REVIEWBest Game For friends,Recommended,35,52.5 hrs on record,Posted: April 5
EARLY ACCESS REVIEWmost fun experience in a while. very fun with friends,Recommended,61,3.9 hrs on record,Posted: April 5
EARLY ACCESS REVIEWLit,Recommended,20,84.9 hrs on record,Posted: April 5
