Currency,Current Price,Converted Price in Pounds,Lowest Recorded Price in Pounds,Game
British Pound,22.491,22.49,22.491,Palworld
South Asia - USD,9.441,7.47,7.47,Palworld
Russian Ruble,99010.0,8.47,8.47,Palworld
South African Rand,243.001,10.31,10.31,Palworld
CIS - U.S. Dollar,13.041,10.32,10.32,Palworld
Chinese Yuan,97.201,10.63,10.63,Palworld
LATAM - U.S. Dollar,13.491,10.68,10.68,Palworld
MENA - U.S. Dollar,13.491,10.68,10.68,Palworld
Malaysian Ringgit,64.801,10.8,10.8,Palworld
Taiwan Dollar,43910.0,10.82,10.82,Palworld
Ukrainian Hryvnia,54010.0,10.94,10.94,Palworld
Vietnamese Dong,34650010.0,10.98,10.98,Palworld
Indonesian Rupiah,22139910.0,11.04,11.04,Palworld
Indian Rupee,117010.0,11.11,11.11,Palworld
Kuwaiti Dinar,4.451,11.45,11.45,Palworld
Philippine Peso,819.001,11.46,11.46,Palworld
Thai Baht,531.001,11.49,11.49,Palworld
Chilean Peso,1395010.0,11.64,11.64,Palworld
Saudi Riyal,55.341,11.68,11.68,Palworld
Kazakhstani Tenge,684010.0,12.12,12.12,Palworld
Peruvian Sol,,12.18,12.18,Palworld
Brazilian Real,,12.52,12.52,Palworld
Qatari Riyal,58.491,12.71,12.71,Palworld
Colombian Peso,6300010.0,13.21,13.21,Palworld
Singapore Dollar,23.401,13.74,13.74,Palworld
Mexican Peso,301.491,14.47,14.47,Palworld
U.A.E. Dirham,71.101,15.32,15.32,Palworld
Japanese Yen,306010.0,15.98,15.98,Palworld
Uruguayan Peso,79610.0,16.61,16.61,Palworld
South Korean Won,2880010.0,16.86,16.86,Palworld
Hong Kong Dollar,168.301,17.02,17.02,Palworld
Costa Rican Colon,1116010.0,17.35,17.35,Palworld
New Zealand Dollar,39.231,18.69,18.69,Palworld
Canadian Dollar,35.091,20.45,20.45,Palworld
Australian Dollar,39.551,20.61,20.61,Palworld
Israeli New Shekel,99.851,21.0,21.0,Palworld
U.S. Dollar,26.991,21.36,21.36,Palworld
Norwegian Krone,,22.27,22.27,Palworld
Euro,,22.39,22.39,Palworld
Polish Zloty,,25.07,25.07,Palworld
Swiss Franc,30.151,26.5,26.5,Palworld
British Pound,12.594,12.59,11.694,Craftopia
South Asia - USD,5.094,4.02,4.02,Craftopia
Russian Ruble,55240.0,4.72,2.38,Craftopia
South African Rand,138.004,5.85,3.81,Craftopia
CIS - U.S. Dollar,7.494,5.92,5.92,Craftopia
LATAM - U.S. Dollar,7.494,5.92,5.92,Craftopia
MENA - U.S. Dollar,7.494,5.92,5.92,Craftopia
Taiwan Dollar,24440.0,6.01,5.57,Craftopia
Chinese Yuan,55.204,6.04,5.25,Craftopia
Malaysian Ringgit,36.604,6.1,4.4,Craftopia
Vietnamese Dong,19250040.0,6.1,4.18,Craftopia
Indonesian Rupiah,12419940.0,6.19,3.59,Craftopia
Ukrainian Hryvnia,30940.0,6.26,3.99,Craftopia
Indian Rupee,66040.0,6.27,3.24,Craftopia
Philippine Peso,459.004,6.42,4.61,Craftopia
Thai Baht,297.004,6.42,4.14,Craftopia
Chilean Peso,780040.0,6.5,4.75,Craftopia
Saudi Riyal,30.894,6.51,5.05,Craftopia
Kuwaiti Dinar,2.554,6.56,6.56,Craftopia
Kazakhstani Tenge,384040.0,6.8,3.5,Craftopia
Peruvian Sol,,6.83,5.8,Craftopia
Brazilian Real,,6.93,4.45,Craftopia
Qatari Riyal,32.994,7.17,6.52,Craftopia
Colombian Peso,3528040.0,7.4,4.21,Craftopia
Singapore Dollar,13.204,7.75,7.75,Craftopia
Mexican Peso,169.794,8.15,6.74,Craftopia
U.A.E. Dirham,39.604,8.53,8.53,Craftopia
Japanese Yen,168040.0,8.77,8.05,Craftopia
Uruguayan Peso,44440.0,9.26,6.61,Craftopia
Hong Kong Dollar,93.604,9.46,6.61,Craftopia
South Korean Won,1620040.0,9.48,9.13,Craftopia
Costa Rican Colon,630040.0,9.79,9.79,Craftopia
New Zealand Dollar,21.594,10.28,8.85,Craftopia
Canadian Dollar,19.504,11.36,10.13,Craftopia
Australian Dollar,21.904,11.41,11.24,Craftopia
Israeli New Shekel,55.774,11.73,11.73,Craftopia
U.S. Dollar,14.994,11.86,11.86,Craftopia
Norwegian Krone,,12.41,7.8,Craftopia
Euro,,12.61,10.8,Craftopia
Polish Zloty,,13.82,10.82,Craftopia
Swiss Franc,16.794,14.76,13.18,Craftopia
British Pound,8.5,8.5,5.953,Lethal
Russian Ruble,385.0,3.29,2.3,Lethal
South African Rand,100.0,4.24,2.97,Lethal
South Asia - USD,5.49,4.34,3.04,Lethal
Malaysian Ringgit,26.75,4.46,3.12,Lethal
Vietnamese Dong,142000.0,4.5,3.15,Lethal
Indonesian Rupiah,90999.0,4.53,3.17,Lethal
Ukrainian Hryvnia,225.0,4.55,3.18,Lethal
Indian Rupee,480.0,4.56,3.19,Lethal
LATAM - U.S. Dollar,5.79,4.58,3.2,Lethal
MENA - U.S. Dollar,5.79,4.58,3.2,Lethal
Chinese Yuan,42.0,4.59,3.21,Lethal
Taiwan Dollar,188.0,4.63,3.23,Lethal
Philippine Peso,335.0,4.68,3.28,Lethal
Saudi Riyal,22.49,4.74,3.32,Lethal
Thai Baht,220.0,4.76,3.33,Lethal
Chilean Peso,5750.0,4.79,3.35,Lethal
Peruvian Sol,,4.94,3.46,Lethal
CIS - U.S. Dollar,6.29,4.97,3.48,Lethal
Kuwaiti Dinar,1.95,5.02,3.5,Lethal
Kazakhstani Tenge,2900.0,5.14,3.59,Lethal
Brazilian Real,,5.15,3.6,Lethal
Qatari Riyal,24.99,5.43,3.8,Lethal
Colombian Peso,26000.0,5.45,3.81,Lethal
Singapore Dollar,10.0,5.87,4.11,Lethal
Mexican Peso,123.99,5.95,4.16,Lethal
U.A.E. Dirham,29.0,6.25,4.37,Lethal
Japanese Yen,1200.0,6.26,4.38,Lethal
South Korean Won,11000.0,6.44,4.5,Lethal
Uruguayan Peso,310.0,6.46,4.52,Lethal
Hong Kong Dollar,66.0,6.67,4.67,Lethal
New Zealand Dollar,14.75,7.02,4.91,Lethal
Costa Rican Colon,4600.0,7.15,5.0,Lethal
Australian Dollar,14.5,7.55,5.29,Lethal
Canadian Dollar,12.99,7.57,5.29,Lethal
Israeli New Shekel,36.95,7.77,5.44,Lethal
U.S. Dollar,9.99,7.9,5.53,Lethal
Norwegian Krone,,8.12,5.68,Lethal
Euro,,8.36,5.85,Lethal
Polish Zloty,,9.21,6.45,Lethal
Swiss Franc,10.99,9.66,6.76,Lethal
