ReviewText,Review,ReviewLength,PlayHours,DatePosted,Game
Simple game with simple catch. Fun only with couple friends.,Recommended,68,8.1 hrs on record,Posted: 5 April,Lethal Companies
noo,Recommended,20,19.1 hrs on record,Posted: 5 April,Lethal Companies
sigma game,Recommended,26,44.1 hrs on record,Posted: 5 April,Lethal Companies
sure,Recommended,21,5.2 hrs on record,Posted: 5 April,Lethal Companies
i think this is a fun game to play with friends or even solo,Recommended,64,140.7 hrs on record,Posted: 5 April,Lethal Companies
it was very fun with the boyos,Recommended,41,13.0 hrs on record,Posted: 5 April,Lethal Companies
scary game,Recommended,26,30.3 hrs on record,Posted: 5 April,Lethal Companies
this game makes me oiled up,Recommended,39,16.9 hrs on record,Posted: 5 April,Lethal Companies
"Great game, fun to play with friends. Terrifying monsters with a stamina system just barely enough to run away and hide or escape them.Very unique while playing alone, not hearing friends and collecting quota on your own.Has a very big modding community, with bigger lobbies, more monsters, moons, and room interiors for more content",Recommended,297,93.7 hrs on record,Posted: 5 April,Lethal Companies
"Really fun, but 3 months since an update. Devs running the valheim model of excessive success with a failure to execute anything in a timely manner thereafter. Hope to be proven wrong!",Not Recommended,170,32.4 hrs on record,Posted: 5 April,Lethal Companies
fun times,Recommended,25,98.2 hrs on record,Posted: April 5,Lethal Companies
wow,Recommended,20,5.9 hrs on record,Posted: April 5,Lethal Companies
grew my penis in size by 4 inches and also got some ♥♥♥♥♥♥♥ finally,Recommended,71,91.4 hrs on record,Posted: April 5,Lethal Companies
coool game,Recommended,26,5.4 hrs on record,Posted: April 5,Lethal Companies
I have died more to the pit then to any thing else 10/10,Recommended,61,12.9 hrs on record,Posted: April 5,Lethal Companies
Product refundedpretty boring,Not Recommended,44,0.5 hrs on record,Posted: April 5,Lethal Companies
funny with friends,Recommended,33,56.1 hrs on record,Posted: April 5,Lethal Companies
This company is amazing to work for. Easy job picking up scrap. 10/10 you definitely won't get spaced.,Recommended,102,17.8 hrs on record,Posted: April 5,Lethal Companies
This is a very fun game to play with friends,Recommended,52,26.1 hrs on record,Posted: April 5,Lethal Companies
"Got my a## chased by a swarm of baboon hawks, 2 dogs and a giant and somehow lived. these are the moments i live for in this game. one of the few games that actually increases my heartrate. 10/10 F### those spike traps tho",Recommended,196,78.9 hrs on record,Posted: April 5,Lethal Companies
It is amazing with friends and is so fun and enjoyable. Highly recommend.,Recommended,78,11.5 hrs on record,Posted: April 5,Lethal Companies
it is a fun multiplayer game that requires teamwork and dumbness,Recommended,71,58.9 hrs on record,Posted: April 5,Lethal Companies
the new version 50 intro made me ♥♥♥♥ my pants harder then a 3am trip to taco bell,Recommended,82,175.2 hrs on record,Posted: April 5,Lethal Companies
"this game is great to play with friends, its a coop horror game and a new update (v50) is coming out soon",Recommended,101,61.0 hrs on record,Posted: April 5,Lethal Companies
jeb,Recommended,20,21.0 hrs on record,Posted: April 5,Lethal Companies
it amazing,Recommended,26,31.6 hrs on record,Posted: April 5,Lethal Companies
Yes,Recommended,20,8.8 hrs on record,Posted: April 5,Lethal Companies
it's not the hype anymore but still fun 2 play ^_^,Recommended,57,26.5 hrs on record,Posted: April 5,Lethal Companies
it have monstor,Recommended,30,16.3 hrs on record,Posted: April 5,Lethal Companies
Product refundedno mic racism,Not Recommended,43,2.0 hrs on record,Posted: April 5,Lethal Companies
im terrified of the man thats comes in my behind,Recommended,56,28.4 hrs on record,Posted: April 5,Lethal Companies
10/10,Recommended,22,9.6 hrs on record,Posted: April 5,Lethal Companies
Best Game For friends,Recommended,35,52.5 hrs on record,Posted: April 5,Lethal Companies
most fun experience in a while. very fun with friends,Recommended,61,3.9 hrs on record,Posted: April 5,Lethal Companies
Lit,Recommended,20,84.9 hrs on record,Posted: April 5,Lethal Companies
Asset a great great asset Asset a great great asset Asset a great great asset Asset a great great asset Asset a great great asset Asset a great great asset Asset a great great asset Asset a great great asset Asset a great great asset Asset a great great asset Asset a great great asset Asset a great great asset Asset a great great asset Asset a great great asset Asset a great great asset Asset a great great asset Asset a great great asset Asset a great great asset Asset a great great asset Asset a great great asset Asset a great great asset Asset a great great asset Asset a great great asset Asset a great great asset Asset a great great asset Asset a great great asset Asset a great great asset Asset a great great asset Asset a great great asset Asset a great great asset Asset a great great asset Asset a great great asset Asset a great great asset Asset a great great asset Asset a great great asset Asset a great great asset,Recommended,773,52.8 hrs on record,Posted: April 5,Lethal Companies
Pretty cool,Recommended,27,60.4 hrs on record,Posted: April 5,Lethal Companies
QDASDASD,Recommended,25,12.7 hrs on record,Posted: April 5,Lethal Companies
yes,Recommended,20,12.9 hrs on record,Posted: April 5,Lethal Companies
I Will Eat 1 Tablespoon of Mayonnaise For Every Like this review gets.,Recommended,75,15.0 hrs on record,Posted: April 5,Lethal Companies
peak fiction,Recommended,28,123.2 hrs on record,Posted: April 5,Lethal Companies
Very fun,Recommended,24,4.6 hrs on record,Posted: April 5,Lethal Companies
good,Recommended,21,63.8 hrs on record,Posted: April 5,Lethal Companies
pretty fun game especially whit mods and friends :D (P.s this can be named bracken dating sim lmao),Recommended,99,48.7 hrs on record,Posted: April 5,Lethal Companies
really fire with friends too,Recommended,41,31.6 hrs on record,Posted: April 5,Lethal Companies
My team drowned themselves and i had to do everything,Recommended,61,6.1 hrs on record,Posted: April 5,Lethal Companies
Thumper is hot,Recommended,29,56.8 hrs on record,Posted: April 5,Lethal Companies
nice game i like it,Recommended,32,10.4 hrs on record,Posted: April 5,Lethal Companies
"Fantastic game to play with friends, a little bit of horror is added but it spices up the overall experience.",Recommended,107,9.2 hrs on record,Posted: April 5,Lethal Companies
love it,Recommended,23,4.6 hrs on record,Posted: April 5,Lethal Companies
if you like ♥♥♥♥♥♥ only,Recommended,36,41.2 hrs on record,Posted: April 5,Lethal Companies
"This game is very fun especially with friends, if you don't have any though it's still very fun if you find a good public lobby",Recommended,120,77.4 hrs on record,Posted: April 5,Lethal Companies
I threw the ♥♥♥♥♥♥♥ game because of a spore lizard10/10 would play with friends only,Recommended,87,3.5 hrs on record,Posted: April 5,Lethal Companies
fa paria,Recommended,24,33.6 hrs on record,Posted: April 5,Lethal Companies
Me when the business is fatal,Recommended,41,8.3 hrs on record,Posted: April 5,Lethal Companies
fun game scary brr blow up funny haha dance with friends,Recommended,63,28.6 hrs on record,Posted: April 5,Lethal Companies
silly yipppe and thr spook,Recommended,39,2.1 hrs on record,Posted: April 5,Lethal Companies
good game and fun,Recommended,31,15.2 hrs on record,Posted: April 5,Lethal Companies
good game but when sex update,Recommended,41,52.1 hrs on record,Posted: April 5,Lethal Companies
This game is actually so fun! At first it was terrifying and it kind of still is but it needs more monsters.,Recommended,104,19.1 hrs on record,Posted: April 5,Lethal Companies
Is good,Recommended,23,63.9 hrs on record,Posted: April 5,Lethal Companies
very epic,Recommended,25,50.2 hrs on record,Posted: April 5,Lethal Companies
will change to positive when sex update,Not Recommended,50,6.3 hrs on record,Posted: April 5,Lethal Companies
nice game,Recommended,25,7.0 hrs on record,Posted: April 5,Lethal Companies
"Very fun game, play +20 player mod",Recommended,45,40.9 hrs on record,Posted: April 5,Lethal Companies
it's an amazing and FUNNY experience :),Recommended,50,15.0 hrs on record,Posted: April 5,Lethal Companies
good game,Recommended,25,34.1 hrs on record,Posted: April 5,Lethal Companies
YIPEE,Recommended,22,20.8 hrs on record,Posted: April 5,Lethal Companies
"I will leave my cat here, so that everybody who passes by can pet it and give it a thumbs up and awards.⠀⠀⠀⠀⠀⠀⢀⡤⣤⣀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⣀⡀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⢀⡏⠀⠀⠈⠳⣄⠀⠀⠀⠀⠀⣀⠴⠋⠉⠉⡆⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⢸⠀⠀⠀⠀⠀⠈⠉⠉⠙⠓⠚⠁⠀⠀⠀⠀⣿⠀⠀⠀⠀⠀⠀⠀⠀⠀⢀⠞⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠹⣄⠀⠀⠀⠀⠀⠀⠀⠀⡞⠀⠀⠀⠀⠀⠶⠀⠀⠀⠀⠀⠀⠦⠀⠀⠀⠀⠀⠸⡆⠀⠀⠀⢠⣤⣶⣾⣧⣤⣤⣀⡀⠀⠀⠀⠀⠈⠀⠀⠀⢀⡤⠴⠶⠤⢤⡀⣧⣀⣀⠀⠻⠶⣾⠁⠀⠀⠀⠀⠙⣆⠀⠀⠀⠀⠀⠀⣰⠋⠀⠀⠀⠀⠀⢹⣿⣭⣽⠇⠀⠀⠙⠤⠴⢤⡤⠤⠤⠋⠉⠉⠉⠉⠉⠉⠉⠳⠖⠦⠤⠶⠦⠞⠁⠀⠀",Recommended,322,5.0 hrs on record,Posted: April 5,Lethal Companies
so there's an enemy in this game and they're basically normal dudes with masks but like we were new so from afar we thought he was just a teammate and as i turned around this guy is in my face spitting blood all over me and when i go to spectate i see my teammates running around like it's some looney tunes chase and everyone got eaten by the blind dogs except 1 guy so when the masked dude came over to him he caught up and grabbed him and the two got eaten by a big ass sandworm,Recommended,400,20.8 hrs on record,Posted: April 5,Lethal Companies
"Game is really good mostly with friends also as a solo it's tough but fun. It's a loot extraction game with a very small learning curve that does ramp up slightly at harder moons. Game also feels very casual which is nice you aren't forced to grind out anything except a few ship upgrades early game but those mostly just add qol rather than a must have immediately.One thing i will say that is terrible about this game is public lobbies. I'd say about 30% of the public lobby players are cheaters some do it blatantly and some not like i had one guy flying through the walls when we weren't around and extracting tons of loot ended up seeing him in death cam then I had another guy join our pretty progressed save as a random 4th and he waited for quota day and deleted all the items in the ship. I also had a player join and flip the monitor and storage unit on its side which was not fixable without cheats. Also nothing is done at all to combat cheaters in this game since it's a small dev team and a non competitive casual game which I get it that's exactly why people cheat but honestly after seeing it even a few times it gets old and kinda ruins the multiplayer experience which is one of the better aspects of this game.Another problem with the game is the amount of trolls out of the 70% non cheaters expect about 4/5 of these other randoms to be complete trolls anything from turning the lights of and hiding the light switch to blaring music in their microphone or loud noises. These are easy enough to deal with as you can mute players but there are also items in the game that turn you into a mimic which can throw your whole run and weapons which allow players to come in and kill everyone in the lobby.TLDR GOOD GAME, AVOID PLAYING WITH RANDOM PEOPLE, GOOD ENTRY LEVEL GAME FOR LOOT EXTRACTION GENRE.",Recommended,1492,39.9 hrs on record,Posted: April 5,Lethal Companies
my friends are boring but this games pretty cool,Recommended,57,4.0 hrs on record,Posted: April 5,Lethal Companies
so fun and enjoyable you will get hooked emedeatly should play with friends,Recommended,80,13.6 hrs on record,Posted: April 5,Lethal Companies
"Damn they weren't lying, that company was lethal.",Recommended,59,129.6 hrs on record,Posted: April 5,Lethal Companies
it fun,Recommended,22,31.6 hrs on record,Posted: April 5,Lethal Companies
"i love it, being a wage slave is fun with friends",Recommended,56,55.3 hrs on record,Posted: April 5,Lethal Companies
troll ur friends with a mask :),Recommended,42,58.2 hrs on record,Posted: April 5,Lethal Companies
its a very good horror game to play with your friends would recommend,Recommended,74,24.5 hrs on record,Posted: April 5,Lethal Companies
.,Recommended,18,5.1 hrs on record,Posted: April 5,Lethal Companies
"Gud game, your team is either autistic, high af, or drunk af",Recommended,66,2.4 hrs on record,Posted: April 5,Lethal Companies
BEST GAME,Recommended,25,4.0 hrs on record,Posted: April 5,Lethal Companies
"grown men screaming for mommy, so good!",Recommended,50,34.1 hrs on record,Posted: April 5,Lethal Companies
nice 10/10 a sus kid joined me now i hate my life good game i lovee it,Recommended,71,40.3 hrs on record,Posted: April 5,Lethal Companies
Most fun I've ever had in a multiplayer game,Recommended,53,63.1 hrs on record,Posted: April 5,Lethal Companies
karena teman saya beban,Not Recommended,37,21.4 hrs on record,Posted: April 5,Lethal Companies
My friends locked me out of the ship as I was being attacked by bees,Recommended,71,12.8 hrs on record,Posted: April 5,Lethal Companies
its fun,Recommended,23,148.9 hrs on record,Posted: April 5,Lethal Companies
si,Recommended,19,22.8 hrs on record,Posted: April 5,Lethal Companies
its epic gamer,Recommended,29,9.7 hrs on record,Posted: April 5,Lethal Companies
"I saw my friend being eaten alive, while my other friend hit the griddy next to him",Recommended,84,58.4 hrs on record,Posted: April 5,Lethal Companies
BEST GAME ON STEAM,Recommended,32,13.4 hrs on record,Posted: April 5,Lethal Companies
Your balls will be tickled,Recommended,39,26.6 hrs on record,Posted: April 5,Lethal Companies
"this game keeps giving me boners, help me.",Recommended,52,129.0 hrs on record,Posted: April 5,Lethal Companies
The community is mostly nice and the gameplay is solid. (but you knew that didn't you?),Recommended,89,19.6 hrs on record,Posted: April 5,Lethal Companies
The future pentacle of child labor.,Recommended,47,27.9 hrs on record,Posted: April 5,Lethal Companies
it is fun,Recommended,24,8.4 hrs on record,Posted: April 5,Lethal Companies
bracken is hot,Recommended,29,63.3 hrs on record,Posted: April 5,Lethal Companies
"In my opinion this is the best multiplayer horror game for fun, it has alot of stuff. For me when i play multiplayer even tho i know evrything its still hella fun to se when people die, scream or just make jokes and playing the first three maps alone is very calming and fun in its own way, this is the game that made me relize that talking to people aint that bad :)Love this game so fricking much",Recommended,337,130.2 hrs on record,Posted: April 5,Lethal Companies
"Experience the thrill of multiplayer amazon, mixed in with the fear of the unknown, explore the vast cosmos and it's eldritch horror right in front of your eyes!Discover the adrenaline of what makes one truly alive as you risk your life just to get by, get rich fast, or stay poor and fear the impending doom that lays ahead of you!1337/42",Recommended,296,14.8 hrs on record,Posted: April 5,Lethal Companies
The best thing about this game is the perfect cuts when your friends die.(No one will read this Ik),Recommended,98,3.2 hrs on record,Posted: April 5,Lethal Companies
good,Recommended,21,5.1 hrs on record,Posted: April 5,Lethal Companies
super duper cool my friends murdered me though to reach the quota,Recommended,71,54.3 hrs on record,Posted: April 5,Lethal Companies
yippee,Recommended,23,294.7 hrs on record,Posted: April 5,Lethal Companies
deez,Recommended,21,15.3 hrs on record,Posted: April 5,Lethal Companies
"very lethal, 10/10",Recommended,33,19.9 hrs on record,Posted: April 5,Lethal Companies
great game,Recommended,26,13.7 hrs on record,Posted: April 5,Lethal Companies
surely it can't be that lethal,Recommended,42,10.6 hrs on record,Posted: April 5,Lethal Companies
gud,Recommended,20,28.8 hrs on record,Posted: April 5,Lethal Companies
"Absolutely great game. Good fear factor, AMAZING with friends, mods are great.It's not really for me though.",Not Recommended,109,1.0 hrs on record,Posted: April 5,Lethal Companies
masterpiece,Recommended,28,150.6 hrs on record,Posted: April 5,Lethal Companies
Very nice besides getting called slurs all the time pretty cool,Recommended,70,11.8 hrs on record,Posted: April 5,Lethal Companies
good game very scary! oooooooooooh ghosts,Recommended,53,229.3 hrs on record,Posted: April 5,Lethal Companies
america ya :3,Recommended,28,34.9 hrs on record,Posted: April 5,Lethal Companies
"good horror game that can be funny with friends and mods, or be more terrifying def get if you can and convince friends to as well",Recommended,122,24.9 hrs on record,Posted: April 5,Lethal Companies
uhhhhhh 5 butlers ganged up and mugged me,Recommended,51,33.7 hrs on record,Posted: April 5,Lethal Companies
game is so much fun i have a blast playing with my friends every time,Recommended,72,22.3 hrs on record,Posted: April 5,Lethal Companies
"Me nu good employee, so boss showed me space :D",Recommended,55,8.4 hrs on record,Posted: April 5,Lethal Companies
"all honesty, very good if you got a pc better than a lemon. (my pc is such lemon)",Recommended,81,43.5 hrs on record,Posted: April 5,Lethal Companies
está pro,Recommended,24,9.3 hrs on record,Posted: April 5,Lethal Companies
"The slot machines go brrrr in the mods, and the giant robots go brrrr when chasing you while crying like a baby.",Recommended,108,107.2 hrs on record,Posted: April 5,Lethal Companies
Funny scary game. Even more funnier and scarier with mods,Recommended,65,20.3 hrs on record,Posted: April 5,Lethal Companies
watched as 2 turrets and 3 mines killed all my friends meanwhile one of them was blaring white girl music. 10/10 would recommend,Recommended,123,78.4 hrs on record,Posted: April 5,Lethal Companies
very fun,Recommended,24,16.8 hrs on record,Posted: April 5,Lethal Companies
boobs,Recommended,22,38.6 hrs on record,Posted: April 5,Lethal Companies
idfk,Recommended,21,2.0 hrs on record,Posted: April 5,Lethal Companies
comedy,Recommended,23,107.0 hrs on record,Posted: April 5,Lethal Companies
nobody will read this review so i'll just say it. this is a really good game. very fun. 200 stars :3,Recommended,97,55.8 hrs on record,Posted: April 5,Lethal Companies
update when,Recommended,27,3.6 hrs on record,Posted: April 5,Lethal Companies
Make Lethal Company Great Again!,Not Recommended,45,29.2 hrs on record,Posted: April 5,Lethal Companies
yea,Recommended,20,8.2 hrs on record,Posted: April 5,Lethal Companies
This game is perfect with the boys. I recommend it,Recommended,58,56.7 hrs on record,Posted: April 5,Lethal Companies
good,Recommended,21,97.4 hrs on record,Posted: April 5,Lethal Companies
It's a ruthless frustrating masochistic game... that's also very enjoyable.,Recommended,83,29.5 hrs on record,Posted: April 5,Lethal Companies
funny,Recommended,22,40.9 hrs on record,Posted: April 5,Lethal Companies
yes,Recommended,20,14.6 hrs on record,Posted: April 5,Lethal Companies
this game is seegma :),Recommended,35,36.2 hrs on record,Posted: April 5,Lethal Companies
good,Recommended,21,34.9 hrs on record,Posted: April 5,Lethal Companies
i love the company,Recommended,32,163.3 hrs on record,Posted: April 5,Lethal Companies
"10/10we always go for the beehives,we always die,we always laugh.",Recommended,73,11.5 hrs on record,Posted: April 5,Lethal Companies
good,Recommended,21,33.9 hrs on record,Posted: April 5,Lethal Companies
I got touched 10/10,Recommended,33,34.7 hrs on record,Posted: April 5,Lethal Companies
Beta keeps crashing. Never had this issue before.,Recommended,59,48.3 hrs on record,Posted: April 5,Lethal Companies
watch out for bees,Recommended,32,11.1 hrs on record,Posted: April 5,Lethal Companies
good,Recommended,21,104.5 hrs on record,Posted: April 5,Lethal Companies
